dom1     dom2     Meff                DCA_score
PF05598  PF13276  340.2896569208798   .13021068919335393
PF00230  PF00324  372.2605787067607   .10731188176537476
PF03091  PF11127  356.54917710858115  .18426108734964552
PF01656  PF02283  373.49308897067937  .12752896742595227
PF02219  PF02965  232.59999579149365  .10335624544152573
PF01566  PF02682  196.81896673949552  .10034726702262352
PF03547  PF05145  302.4383158508159   .1294866474533846
PF00078  PF05708  136.12818156483152  .0989208672057241
PF02635  PF03601  215.4686090907048   .1041131788390252
PF02397  PF04932  1977.1320946298797  .15595518413039466
PF00089  PF02028  313.7046316458555   .09881091866126773
PF00745  PF03900  473.7181015735558   .19418892899101883
PF03916  PF09107  101.0892766322621   .10398487244749383
PF00866  PF07836  123.54068289298999  .15343868412132916
PF05598  PF06067  47.71297893935486   .1184423467222939
PF00490  PF02602  757.5885615470565   .13825825884435372
PF02698  PF03547  735.4593082057944   .14792179611751072
PF02583  PF11769  74.38334259050202   .10969074831937342
PF02308  PF03009  712.0986972445792   .12476781443334956
PF05025  PF13936  214.33073434021048  .1959593452176096
PF00459  PF01583  580.4349768874433   .14707434172805994
PF00929  PF03747  421.88311178420986  .10041707024515047
PF00708  PF03595  188.61025224461721  .10740327157497487
PF06067  PF11726  32.28510101010101   .10173128577499096
PF03841  PF03916  183.7576447756934   .0852337458845107
PF01161  PF03595  205.6039925661757   .10892699930889277
PF13087  PF13604  449.83120605834256  .1251088490730044
PF00708  PF01155  463.46042482639575  .19060178799258456
PF03279  PF04413  419.4803277758891   .12656899568819774
PF00866  PF09290  152.0579476079476   .16632324749728167
PF00665  PF02661  646.1194344853733   .14714724464247572
PF01312  PF01514  474.40110815509377  .14791470472490803
PF01427  PF04471  202.80585920534344  .10698744126900835
PF00145  PF07221  183.65386154127177  .0721849334795168
PF00144  PF04266  335.8841699596336   .09314359826066788
PF04434  PF07728  177.7929952125561   .1656818503874509
PF00384  PF03454  163.6593766656968   .11041558532599431
PF00708  PF01924  369.26388180038157  .14743349639374267
PF06445  PF13508  815.5656730964159   .14365846841017887
PF07722  PF10672  473.49944996256045  .11734924721451823
PF00771  PF00813  399.28489249749634  .12578626964494166
PF01904  PF06719  240.74316535387766  .12956740366905212
PF03331  PF04413  423.36635330598517  .14893253321261757
PF03575  PF04239  170.33062192291735  .12228295049888997
PF02583  PF07728  260.33980740641624  .12861581560530616
PF13483  PF13817  97.62556046476354   .14350001917819538
PF00813  PF01312  585.7572959708125   .17144495181486272
PF01510  PF02638  273.91496490444035  .12224271648390796
PF00255  PF01183  302.4110200185766   .17133118138933712
PF04228  PF07411  212.10464674214683  .1911677875675098
PF00771  PF01311  432.5795103721139   .11330000080337774
PF01202  PF01264  747.1939547504612   .13734521749219203
PF02604  PF07927  546.8926869305667   .15955673720868446
PF04413  PF13720  462.00983521614535  .1933842179579997
PF03737  PF04143  123.27552252149715  .0937139022099503
PF02634  PF04879  356.115106418691    .1299721650796446
PF00939  PF01344  116.4356634115641   .09891089843695572
PF02661  PF05016  754.073380413151    .13877667383517323
PF01095  PF04616  123.07127515459581  .09819336022733949
